Date,Predicted Sales
2024-01-31,843
2024-02-29,752
2024-03-31,812
2024-04-30,760
2024-05-31,803
2024-06-30,749
2024-07-31,792
2024-08-31,798
2024-09-30,786
2024-10-31,785
2024-11-30,755
2024-12-31,824
2025-01-31,839
2025-02-28,709
2025-03-31,767
2025-04-30,759
2025-05-31,802
2025-06-30,769
2025-07-31,740
2025-08-31,802
2025-09-30,809
2025-10-31,813
2025-11-30,747
2025-12-31,791
2026-01-31,837
2026-02-28,706
2026-03-31,768
2026-04-30,752
2026-05-31,793
2026-06-30,764
2026-07-31,735
2026-08-31,797
2026-09-30,803
2026-10-31,807
2026-11-30,741
2026-12-31,785
2027-01-31,831
2027-02-28,700
2027-03-31,763
2027-04-30,746
2027-05-31,787
2027-06-30,759
2027-07-31,729
2027-08-31,791
2027-09-30,797
2027-10-31,802
2027-11-30,736
2027-12-31,779
2028-01-31,825
2028-02-29,695
2028-03-31,758
2028-04-30,741
2028-05-31,781
2028-06-30,753
2028-07-31,723
2028-08-31,784
2028-09-30,791
