Date,Predicted Sales
2024-01-31,648
2024-02-29,681
2024-03-31,769
2024-04-30,785
2024-05-31,677
2024-06-30,647
2024-07-31,693
2024-08-31,699
2024-09-30,655
2024-10-31,837
2024-11-30,694
2024-12-31,744
2025-01-31,685
2025-02-28,658
2025-03-31,718
2025-04-30,693
2025-05-31,663
2025-06-30,614
2025-07-31,616
2025-08-31,779
2025-09-30,628
2025-10-31,821
2025-11-30,623
2025-12-31,655
2026-01-31,620
2026-02-28,627
2026-03-31,695
2026-04-30,669
2026-05-31,617
2026-06-30,572
2026-07-31,581
2026-08-31,713
2026-09-30,585
2026-10-31,782
2026-11-30,586
2026-12-31,641
2027-01-31,585
2027-02-28,581
2027-03-31,657
2027-04-30,641
2027-05-31,580
2027-06-30,533
2027-07-31,552
2027-08-31,675
2027-09-30,552
2027-10-31,754
2027-11-30,557
2027-12-31,600
2028-01-31,550
2028-02-29,547
2028-03-31,619
2028-04-30,592
2028-05-31,542
2028-06-30,489
2028-07-31,502
2028-08-31,649
2028-09-30,510
