Date,Predicted Sales
2024-01-31,898
2024-02-29,839
2024-03-31,915
2024-04-30,843
2024-05-31,994
2024-06-30,998
2024-07-31,870
2024-08-31,922
2024-09-30,989
2024-10-31,964
2024-11-30,761
2024-12-31,899
2025-01-31,940
2025-02-28,886
2025-03-31,950
2025-04-30,878
2025-05-31,953
2025-06-30,1007
2025-07-31,940
2025-08-31,883
2025-09-30,1045
2025-10-31,938
2025-11-30,840
2025-12-31,954
2026-01-31,939
2026-02-28,891
2026-03-31,973
2026-04-30,945
2026-05-31,956
2026-06-30,1013
2026-07-31,955
2026-08-31,929
2026-09-30,1042
2026-10-31,948
2026-11-30,876
2026-12-31,976
2027-01-31,981
2027-02-28,936
2027-03-31,988
2027-04-30,929
2027-05-31,981
2027-06-30,1026
2027-07-31,962
2027-08-31,938
2027-09-30,1049
2027-10-31,1011
2027-11-30,890
2027-12-31,979
2028-01-31,988
2028-02-29,944
2028-03-31,993
2028-04-30,946
2028-05-31,965
2028-06-30,1016
2028-07-31,976
2028-08-31,935
2028-09-30,1042
