Date,Predicted Sales
2024-01-31,1048
2024-02-29,785
2024-03-31,894
2024-04-30,912
2024-05-31,959
2024-06-30,873
2024-07-31,909
2024-08-31,919
2024-09-30,876
2024-10-31,900
2024-11-30,965
2024-12-31,942
2025-01-31,986
2025-02-28,853
2025-03-31,927
2025-04-30,902
2025-05-31,999
2025-06-30,898
2025-07-31,933
2025-08-31,907
2025-09-30,891
2025-10-31,928
2025-11-30,995
2025-12-31,938
2026-01-31,968
2026-02-28,841
2026-03-31,949
2026-04-30,907
2026-05-31,990
2026-06-30,921
2026-07-31,942
2026-08-31,904
2026-09-30,879
2026-10-31,969
2026-11-30,976
2026-12-31,968
2027-01-31,1002
2027-02-28,845
2027-03-31,965
2027-04-30,931
2027-05-31,1006
2027-06-30,933
2027-07-31,956
2027-08-31,929
2027-09-30,904
2027-10-31,983
2027-11-30,998
2027-12-31,988
2028-01-31,1023
2028-02-29,865
2028-03-31,984
2028-04-30,951
2028-05-31,1029
2028-06-30,950
2028-07-31,974
2028-08-31,950
2028-09-30,930
