Date,Predicted Sales
2024-01-31,826
2024-02-29,811
2024-03-31,865
2024-04-30,871
2024-05-31,821
2024-06-30,891
2024-07-31,762
2024-08-31,841
2024-09-30,799
2024-10-31,856
2024-11-30,800
2024-12-31,815
2025-01-31,799
2025-02-28,811
2025-03-31,857
2025-04-30,831
2025-05-31,858
2025-06-30,861
2025-07-31,781
2025-08-31,845
2025-09-30,760
2025-10-31,830
2025-11-30,833
2025-12-31,844
2026-01-31,827
2026-02-28,805
2026-03-31,870
2026-04-30,838
2026-05-31,831
2026-06-30,866
2026-07-31,749
2026-08-31,854
2026-09-30,789
2026-10-31,845
2026-11-30,857
2026-12-31,856
2027-01-31,839
2027-02-28,814
2027-03-31,879
2027-04-30,857
2027-05-31,831
2027-06-30,880
2027-07-31,753
2027-08-31,860
2027-09-30,803
2027-10-31,859
2027-11-30,850
2027-12-31,853
2028-01-31,836
2028-02-29,822
2028-03-31,883
2028-04-30,861
2028-05-31,846
2028-06-30,884
2028-07-31,767
2028-08-31,863
2028-09-30,799
