Date,Predicted Sales
2024-01-31,881
2024-02-29,762
2024-03-31,948
2024-04-30,825
2024-05-31,966
2024-06-30,830
2024-07-31,866
2024-08-31,818
2024-09-30,926
2024-10-31,794
2024-11-30,881
2024-12-31,852
2025-01-31,929
2025-02-28,793
2025-03-31,976
2025-04-30,847
2025-05-31,967
2025-06-30,842
2025-07-31,911
2025-08-31,842
2025-09-30,884
2025-10-31,817
2025-11-30,894
2025-12-31,884
2026-01-31,943
2026-02-28,807
2026-03-31,974
2026-04-30,846
2026-05-31,1004
2026-06-30,884
2026-07-31,956
2026-08-31,821
2026-09-30,924
2026-10-31,797
2026-11-30,912
2026-12-31,904
2027-01-31,953
2027-02-28,832
2027-03-31,999
2027-04-30,875
2027-05-31,1019
2027-06-30,897
2027-07-31,951
2027-08-31,867
2027-09-30,953
2027-10-31,844
2027-11-30,928
2027-12-31,915
2028-01-31,977
2028-02-29,853
2028-03-31,1020
2028-04-30,892
2028-05-31,1032
2028-06-30,909
2028-07-31,972
2028-08-31,890
2028-09-30,959
