Date,Predicted Sales
2024-01-31,775
2024-02-29,817
2024-03-31,770
2024-04-30,738
2024-05-31,735
2024-06-30,765
2024-07-31,809
2024-08-31,686
2024-09-30,647
2024-10-31,885
2024-11-30,653
2024-12-31,759
2025-01-31,785
2025-02-28,669
2025-03-31,810
2025-04-30,664
2025-05-31,661
2025-06-30,829
2025-07-31,798
2025-08-31,698
2025-09-30,615
2025-10-31,770
2025-11-30,653
2025-12-31,685
2026-01-31,654
2026-02-28,726
2026-03-31,812
2026-04-30,631
2026-05-31,703
2026-06-30,826
2026-07-31,808
2026-08-31,648
2026-09-30,627
2026-10-31,818
2026-11-30,616
2026-12-31,704
2027-01-31,709
2027-02-28,704
2027-03-31,745
2027-04-30,647
2027-05-31,661
2027-06-30,752
2027-07-31,758
2027-08-31,634
2027-09-30,588
2027-10-31,788
2027-11-30,598
2027-12-31,678
2028-01-31,679
2028-02-29,650
2028-03-31,751
2028-04-30,599
2028-05-31,632
2028-06-30,769
2028-07-31,746
2028-08-31,619
2028-09-30,565
