Date,Predicted Sales
2024-01-31,860
2024-02-29,805
2024-03-31,875
2024-04-30,793
2024-05-31,792
2024-06-30,825
2024-07-31,923
2024-08-31,944
2024-09-30,902
2024-10-31,838
2024-11-30,927
2024-12-31,982
2025-01-31,902
2025-02-28,845
2025-03-31,904
2025-04-30,777
2025-05-31,885
2025-06-30,831
2025-07-31,902
2025-08-31,970
2025-09-30,923
2025-10-31,904
2025-11-30,923
2025-12-31,947
2026-01-31,944
2026-02-28,849
2026-03-31,916
2026-04-30,805
2026-05-31,898
2026-06-30,846
2026-07-31,949
2026-08-31,960
2026-09-30,946
2026-10-31,907
2026-11-30,948
2026-12-31,972
2027-01-31,957
2027-02-28,877
2027-03-31,945
2027-04-30,845
2027-05-31,905
2027-06-30,880
2027-07-31,964
2027-08-31,982
2027-09-30,964
2027-10-31,915
2027-11-30,960
2027-12-31,1001
2028-01-31,973
2028-02-29,910
2028-03-31,973
2028-04-30,866
2028-05-31,935
2028-06-30,899
2028-07-31,956
2028-08-31,990
2028-09-30,972
