Date,Predicted Sales
2024-01-31,741
2024-02-29,647
2024-03-31,671
2024-04-30,727
2024-05-31,768
2024-06-30,814
2024-07-31,700
2024-08-31,771
2024-09-30,722
2024-10-31,669
2024-11-30,763
2024-12-31,742
2025-01-31,688
2025-02-28,654
2025-03-31,662
2025-04-30,740
2025-05-31,757
2025-06-30,826
2025-07-31,724
2025-08-31,784
2025-09-30,676
2025-10-31,648
2025-11-30,715
2025-12-31,774
2026-01-31,729
2026-02-28,692
2026-03-31,696
2026-04-30,735
2026-05-31,739
2026-06-30,801
2026-07-31,706
2026-08-31,767
2026-09-30,680
2026-10-31,691
2026-11-30,726
2026-12-31,743
2027-01-31,711
2027-02-28,657
2027-03-31,666
2027-04-30,713
2027-05-31,729
2027-06-30,787
2027-07-31,684
2027-08-31,750
2027-09-30,671
2027-10-31,662
2027-11-30,717
2027-12-31,724
2028-01-31,684
2028-02-29,635
2028-03-31,645
2028-04-30,702
2028-05-31,718
2028-06-30,779
2028-07-31,675
2028-08-31,741
2028-09-30,651
