Date,Predicted Sales
2024-01-31,759
2024-02-29,800
2024-03-31,711
2024-04-30,782
2024-05-31,763
2024-06-30,813
2024-07-31,748
2024-08-31,847
2024-09-30,776
2024-10-31,797
2024-11-30,728
2024-12-31,847
2025-01-31,757
2025-02-28,794
2025-03-31,712
2025-04-30,776
2025-05-31,764
2025-06-30,808
2025-07-31,749
2025-08-31,842
2025-09-30,777
2025-10-31,792
2025-11-30,728
2025-12-31,843
2026-01-31,757
2026-02-28,789
2026-03-31,712
2026-04-30,772
2026-05-31,764
2026-06-30,804
2026-07-31,749
2026-08-31,838
2026-09-30,776
2026-10-31,789
2026-11-30,728
2026-12-31,839
2027-01-31,756
2027-02-28,786
2027-03-31,711
2027-04-30,769
2027-05-31,763
2027-06-30,801
2027-07-31,748
2027-08-31,835
2027-09-30,775
2027-10-31,785
2027-11-30,727
2027-12-31,836
2028-01-31,755
2028-02-29,782
2028-03-31,710
2028-04-30,766
2028-05-31,761
2028-06-30,798
2028-07-31,747
2028-08-31,833
2028-09-30,774
