Date,Predicted Sales
2024-01-31,846
2024-02-29,856
2024-03-31,835
2024-04-30,802
2024-05-31,895
2024-06-30,871
2024-07-31,807
2024-08-31,866
2024-09-30,856
2024-10-31,820
2024-11-30,796
2024-12-31,834
2025-01-31,824
2025-02-28,804
2025-03-31,828
2025-04-30,832
2025-05-31,879
2025-06-30,898
2025-07-31,804
2025-08-31,852
2025-09-30,955
2025-10-31,795
2025-11-30,832
2025-12-31,834
2026-01-31,826
2026-02-28,818
2026-03-31,850
2026-04-30,844
2026-05-31,884
2026-06-30,891
2026-07-31,818
2026-08-31,862
2026-09-30,951
2026-10-31,812
2026-11-30,843
2026-12-31,846
2027-01-31,850
2027-02-28,841
2027-03-31,856
2027-04-30,847
2027-05-31,904
2027-06-30,908
2027-07-31,829
2027-08-31,875
2027-09-30,947
2027-10-31,826
2027-11-30,845
2027-12-31,856
2028-01-31,852
2028-02-29,841
2028-03-31,865
2028-04-30,861
2028-05-31,908
2028-06-30,916
2028-07-31,838
2028-08-31,882
2028-09-30,970
