Date,Predicted Sales
2024-01-31,867
2024-02-29,862
2024-03-31,886
2024-04-30,816
2024-05-31,791
2024-06-30,801
2024-07-31,883
2024-08-31,864
2024-09-30,856
2024-10-31,875
2024-11-30,917
2024-12-31,833
2025-01-31,830
2025-02-28,849
2025-03-31,880
2025-04-30,868
2025-05-31,803
2025-06-30,892
2025-07-31,917
2025-08-31,868
2025-09-30,857
2025-10-31,854
2025-11-30,947
2025-12-31,848
2026-01-31,852
2026-02-28,864
2026-03-31,892
2026-04-30,863
2026-05-31,810
2026-06-30,876
2026-07-31,917
2026-08-31,878
2026-09-30,867
2026-10-31,871
2026-11-30,948
2026-12-31,854
2027-01-31,856
2027-02-28,870
2027-03-31,898
2027-04-30,875
2027-05-31,818
2027-06-30,890
2027-07-31,927
2027-08-31,885
2027-09-30,874
2027-10-31,875
2027-11-30,958
2027-12-31,863
2028-01-31,866
2028-02-29,878
2028-03-31,906
2028-04-30,882
2028-05-31,826
2028-06-30,896
2028-07-31,934
2028-08-31,893
2028-09-30,882
