Date,Predicted Sales
2024-01-31,933
2024-02-29,847
2024-03-31,891
2024-04-30,848
2024-05-31,883
2024-06-30,786
2024-07-31,854
2024-08-31,828
2024-09-30,789
2024-10-31,864
2024-11-30,871
2024-12-31,862
2025-01-31,872
2025-02-28,868
2025-03-31,895
2025-04-30,836
2025-05-31,871
2025-06-30,775
2025-07-31,894
2025-08-31,879
2025-09-30,847
2025-10-31,913
2025-11-30,872
2025-12-31,841
2026-01-31,899
2026-02-28,877
2026-03-31,906
2026-04-30,853
2026-05-31,886
2026-06-30,791
2026-07-31,896
2026-08-31,879
2026-09-30,845
2026-10-31,913
2026-11-30,885
2026-12-31,860
2027-01-31,906
2027-02-28,888
2027-03-31,916
2027-04-30,862
2027-05-31,895
2027-06-30,800
2027-07-31,908
2027-08-31,892
2027-09-30,859
2027-10-31,926
2027-11-30,895
2027-12-31,868
2028-01-31,918
2028-02-29,898
2028-03-31,927
2028-04-30,873
2028-05-31,906
2028-06-30,811
2028-07-31,918
2028-08-31,903
2028-09-30,868
