Date,Predicted Sales
2024-01-31,739
2024-02-29,707
2024-03-31,693
2024-04-30,738
2024-05-31,723
2024-06-30,721
2024-07-31,713
2024-08-31,778
2024-09-30,766
2024-10-31,777
2024-11-30,799
2024-12-31,750
2025-01-31,732
2025-02-28,698
2025-03-31,685
2025-04-30,731
2025-05-31,714
2025-06-30,713
2025-07-31,706
2025-08-31,771
2025-09-30,759
2025-10-31,772
2025-11-30,795
2025-12-31,743
2026-01-31,724
2026-02-28,690
2026-03-31,677
2026-04-30,723
2026-05-31,706
2026-06-30,705
2026-07-31,698
2026-08-31,764
2026-09-30,751
2026-10-31,766
2026-11-30,790
2026-12-31,736
2027-01-31,716
2027-02-28,680
2027-03-31,668
2027-04-30,715
2027-05-31,698
2027-06-30,698
2027-07-31,691
2027-08-31,758
2027-09-30,744
2027-10-31,760
2027-11-30,785
2027-12-31,729
2028-01-31,707
2028-02-29,671
2028-03-31,659
2028-04-30,707
2028-05-31,689
2028-06-30,689
2028-07-31,683
2028-08-31,751
2028-09-30,737
