Date,Predicted Sales
2024-01-31,809
2024-02-29,724
2024-03-31,859
2024-04-30,806
2024-05-31,774
2024-06-30,609
2024-07-31,705
2024-08-31,914
2024-09-30,824
2024-10-31,774
2024-11-30,732
2024-12-31,793
2025-01-31,804
2025-02-28,744
2025-03-31,905
2025-04-30,811
2025-05-31,760
2025-06-30,761
2025-07-31,815
2025-08-31,802
2025-09-30,845
2025-10-31,792
2025-11-30,809
2025-12-31,797
2026-01-31,846
2026-02-28,710
2026-03-31,792
2026-04-30,842
2026-05-31,756
2026-06-30,785
2026-07-31,758
2026-08-31,804
2026-09-30,830
2026-10-31,857
2026-11-30,747
2026-12-31,810
2027-01-31,825
2027-02-28,733
2027-03-31,861
2027-04-30,824
2027-05-31,773
2027-06-30,701
2027-07-31,753
2027-08-31,875
2027-09-30,839
2027-10-31,807
2027-11-30,759
2027-12-31,806
2028-01-31,826
2028-02-29,742
2028-03-31,880
2028-04-30,829
2028-05-31,771
2028-06-30,760
2028-07-31,796
2028-08-31,829
2028-09-30,848
