Date,Predicted Sales
2024-01-31,774
2024-02-29,668
2024-03-31,742
2024-04-30,666
2024-05-31,710
2024-06-30,688
2024-07-31,673
2024-08-31,726
2024-09-30,730
2024-10-31,750
2024-11-30,733
2024-12-31,709
2025-01-31,738
2025-02-28,634
2025-03-31,715
2025-04-30,681
2025-05-31,682
2025-06-30,670
2025-07-31,655
2025-08-31,727
2025-09-30,730
2025-10-31,751
2025-11-30,721
2025-12-31,695
2026-01-31,722
2026-02-28,618
2026-03-31,699
2026-04-30,665
2026-05-31,666
2026-06-30,654
2026-07-31,639
2026-08-31,718
2026-09-30,723
2026-10-31,744
2026-11-30,706
2026-12-31,679
2027-01-31,707
2027-02-28,602
2027-03-31,683
2027-04-30,649
2027-05-31,651
2027-06-30,639
2027-07-31,623
2027-08-31,706
2027-09-30,712
2027-10-31,733
2027-11-30,690
2027-12-31,663
2028-01-31,691
2028-02-29,586
2028-03-31,667
2028-04-30,634
2028-05-31,635
2028-06-30,623
2028-07-31,607
2028-08-31,690
2028-09-30,698
