Date,Predicted Sales
2024-01-31,776
2024-02-29,632
2024-03-31,915
2024-04-30,724
2024-05-31,708
2024-06-30,645
2024-07-31,713
2024-08-31,665
2024-09-30,744
2024-10-31,753
2024-11-30,661
2024-12-31,707
2025-01-31,742
2025-02-28,575
2025-03-31,884
2025-04-30,667
2025-05-31,697
2025-06-30,662
2025-07-31,669
2025-08-31,636
2025-09-30,721
2025-10-31,716
2025-11-30,641
2025-12-31,664
2026-01-31,695
2026-02-28,605
2026-03-31,831
2026-04-30,668
2026-05-31,660
2026-06-30,609
2026-07-31,646
2026-08-31,613
2026-09-30,687
2026-10-31,705
2026-11-30,596
2026-12-31,627
2027-01-31,668
2027-02-28,545
2027-03-31,805
2027-04-30,624
2027-05-31,620
2027-06-30,568
2027-07-31,610
2027-08-31,573
2027-09-30,651
2027-10-31,661
2027-11-30,563
2027-12-31,598
2028-01-31,636
2028-02-29,501
2028-03-31,772
2028-04-30,584
2028-05-31,591
2028-06-30,544
2028-07-31,574
2028-08-31,538
2028-09-30,619
