Date,Predicted Sales
2024-01-31,728
2024-02-29,670
2024-03-31,878
2024-04-30,739
2024-05-31,842
2024-06-30,699
2024-07-31,796
2024-08-31,853
2024-09-30,722
2024-10-31,839
2024-11-30,844
2024-12-31,720
2025-01-31,795
2025-02-28,642
2025-03-31,825
2025-04-30,698
2025-05-31,816
2025-06-30,649
2025-07-31,780
2025-08-31,916
2025-09-30,766
2025-10-31,816
2025-11-30,831
2025-12-31,713
2026-01-31,779
2026-02-28,632
2026-03-31,832
2026-04-30,726
2026-05-31,811
2026-06-30,658
2026-07-31,806
2026-08-31,896
2026-09-30,772
2026-10-31,775
2026-11-30,844
2026-12-31,737
2027-01-31,756
2027-02-28,636
2027-03-31,833
2027-04-30,706
2027-05-31,811
2027-06-30,656
2027-07-31,783
2027-08-31,881
2027-09-30,743
2027-10-31,802
2027-11-30,827
2027-12-31,709
2028-01-31,766
2028-02-29,624
2028-03-31,818
2028-04-30,699
2028-05-31,800
2028-06-30,642
2028-07-31,782
2028-08-31,889
2028-09-30,753
