Date,Predicted Sales
2024-01-31,477
2024-02-29,624
2024-03-31,599
2024-04-30,693
2024-05-31,562
2024-06-30,628
2024-07-31,607
2024-08-31,592
2024-09-30,543
2024-10-31,612
2024-11-30,577
2024-12-31,594
2025-01-31,425
2025-02-28,595
2025-03-31,559
2025-04-30,640
2025-05-31,528
2025-06-30,599
2025-07-31,556
2025-08-31,541
2025-09-30,493
2025-10-31,570
2025-11-30,534
2025-12-31,550
2026-01-31,383
2026-02-28,553
2026-03-31,516
2026-04-30,575
2026-05-31,476
2026-06-30,558
2026-07-31,506
2026-08-31,493
2026-09-30,450
2026-10-31,527
2026-11-30,490
2026-12-31,504
2027-01-31,340
2027-02-28,508
2027-03-31,469
2027-04-30,530
2027-05-31,435
2027-06-30,509
2027-07-31,460
2027-08-31,450
2027-09-30,406
2027-10-31,483
2027-11-30,454
2027-12-31,464
2028-01-31,294
2028-02-29,457
2028-03-31,430
2028-04-30,483
2028-05-31,391
2028-06-30,471
2028-07-31,420
2028-08-31,408
2028-09-30,363
