Date,Predicted Sales
2024-01-31,678
2024-02-29,547
2024-03-31,764
2024-04-30,572
2024-05-31,638
2024-06-30,673
2024-07-31,600
2024-08-31,634
2024-09-30,640
2024-10-31,673
2024-11-30,622
2024-12-31,687
2025-01-31,668
2025-02-28,491
2025-03-31,749
2025-04-30,552
2025-05-31,675
2025-06-30,671
2025-07-31,606
2025-08-31,601
2025-09-30,604
2025-10-31,649
2025-11-30,593
2025-12-31,664
2026-01-31,634
2026-02-28,470
2026-03-31,740
2026-04-30,532
2026-05-31,624
2026-06-30,648
2026-07-31,584
2026-08-31,589
2026-09-30,602
2026-10-31,625
2026-11-30,570
2026-12-31,647
2027-01-31,616
2027-02-28,458
2027-03-31,706
2027-04-30,507
2027-05-31,602
2027-06-30,622
2027-07-31,553
2027-08-31,561
2027-09-30,566
2027-10-31,605
2027-11-30,549
2027-12-31,622
2028-01-31,593
2028-02-29,427
2028-03-31,688
2028-04-30,484
2028-05-31,582
2028-06-30,603
2028-07-31,538
2028-08-31,541
2028-09-30,547
