Date,Predicted Sales
2024-01-31,1390
2024-02-29,1443
2024-03-31,1275
2024-04-30,1164
2024-05-31,1399
2024-06-30,1311
2024-07-31,1373
2024-08-31,1384
2024-09-30,1114
2024-10-31,1400
2024-11-30,1328
2024-12-31,1341
2025-01-31,1378
2025-02-28,1361
2025-03-31,1267
2025-04-30,1168
2025-05-31,1366
2025-06-30,1312
2025-07-31,1324
2025-08-31,1326
2025-09-30,1074
2025-10-31,1385
2025-11-30,1303
2025-12-31,1354
2026-01-31,1326
2026-02-28,1364
2026-03-31,1215
2026-04-30,1136
2026-05-31,1318
2026-06-30,1295
2026-07-31,1341
2026-08-31,1324
2026-09-30,1027
2026-10-31,1338
2026-11-30,1293
2026-12-31,1317
2027-01-31,1321
2027-02-28,1340
2027-03-31,1207
2027-04-30,1112
2027-05-31,1326
2027-06-30,1258
2027-07-31,1294
2027-08-31,1287
2027-09-30,1025
2027-10-31,1322
2027-11-30,1256
2027-12-31,1296
2028-01-31,1290
2028-02-29,1304
2028-03-31,1167
2028-04-30,1082
2028-05-31,1287
2028-06-30,1251
2028-07-31,1279
2028-08-31,1259
2028-09-30,981
