Date,Predicted Sales
2024-01-31,580
2024-02-29,601
2024-03-31,808
2024-04-30,513
2024-05-31,713
2024-06-30,754
2024-07-31,678
2024-08-31,656
2024-09-30,667
2024-10-31,627
2024-11-30,729
2024-12-31,704
2025-01-31,585
2025-02-28,612
2025-03-31,698
2025-04-30,564
2025-05-31,711
2025-06-30,766
2025-07-31,739
2025-08-31,743
2025-09-30,706
2025-10-31,701
2025-11-30,720
2025-12-31,810
2026-01-31,625
2026-02-28,583
2026-03-31,832
2026-04-30,512
2026-05-31,651
2026-06-30,703
2026-07-31,716
2026-08-31,715
2026-09-30,725
2026-10-31,653
2026-11-30,637
2026-12-31,755
2027-01-31,562
2027-02-28,569
2027-03-31,764
2027-04-30,488
2027-05-31,655
2027-06-30,699
2027-07-31,666
2027-08-31,654
2027-09-30,653
2027-10-31,612
2027-11-30,664
2027-12-31,707
2028-01-31,551
2028-02-29,559
2028-03-31,716
2028-04-30,498
2028-05-31,644
2028-06-30,691
2028-07-31,676
2028-08-31,672
2028-09-30,661
