Date,Predicted Sales
2024-01-31,533
2024-02-29,541
2024-03-31,654
2024-04-30,509
2024-05-31,610
2024-06-30,551
2024-07-31,588
2024-08-31,531
2024-09-30,656
2024-10-31,556
2024-11-30,489
2024-12-31,573
2025-01-31,509
2025-02-28,474
2025-03-31,584
2025-04-30,441
2025-05-31,519
2025-06-30,502
2025-07-31,568
2025-08-31,519
2025-09-30,585
2025-10-31,543
2025-11-30,464
2025-12-31,538
2026-01-31,450
2026-02-28,422
2026-03-31,538
2026-04-30,366
2026-05-31,525
2026-06-30,494
2026-07-31,512
2026-08-31,478
2026-09-30,528
2026-10-31,473
2026-11-30,358
2026-12-31,456
2027-01-31,368
2027-02-28,355
2027-03-31,471
2027-04-30,313
2027-05-31,433
2027-06-30,389
2027-07-31,423
2027-08-31,376
2027-09-30,458
2027-10-31,386
2027-11-30,300
2027-12-31,390
2028-01-31,312
2028-02-29,296
2028-03-31,405
2028-04-30,243
2028-05-31,353
2028-06-30,324
2028-07-31,370
2028-08-31,325
2028-09-30,402
