Date,Predicted Sales
2024-01-31,796
2024-02-29,673
2024-03-31,750
2024-04-30,668
2024-05-31,689
2024-06-30,780
2024-07-31,566
2024-08-31,767
2024-09-30,763
2024-10-31,793
2024-11-30,707
2024-12-31,724
2025-01-31,756
2025-02-28,620
2025-03-31,709
2025-04-30,734
2025-05-31,745
2025-06-30,750
2025-07-31,739
2025-08-31,785
2025-09-30,782
2025-10-31,783
2025-11-30,729
2025-12-31,778
2026-01-31,761
2026-02-28,638
2026-03-31,756
2026-04-30,718
2026-05-31,697
2026-06-30,659
2026-07-31,629
2026-08-31,760
2026-09-30,733
2026-10-31,826
2026-11-30,730
2026-12-31,790
2027-01-31,805
2027-02-28,680
2027-03-31,766
2027-04-30,720
2027-05-31,727
2027-06-30,757
2027-07-31,642
2027-08-31,789
2027-09-30,773
2027-10-31,828
2027-11-30,743
2027-12-31,771
2028-01-31,796
2028-02-29,668
2028-03-31,761
2028-04-30,753
2028-05-31,758
2028-06-30,764
2028-07-31,712
2028-08-31,807
2028-09-30,793
