Date,Predicted Sales
2024-01-31,591
2024-02-29,599
2024-03-31,614
2024-04-30,626
2024-05-31,586
2024-06-30,627
2024-07-31,630
2024-08-31,631
2024-09-30,612
2024-10-31,629
2024-11-30,660
2024-12-31,638
2025-01-31,653
2025-02-28,596
2025-03-31,620
2025-04-30,680
2025-05-31,612
2025-06-30,591
2025-07-31,598
2025-08-31,666
2025-09-30,630
2025-10-31,595
2025-11-30,633
2025-12-31,649
2026-01-31,615
2026-02-28,569
2026-03-31,605
2026-04-30,654
2026-05-31,580
2026-06-30,583
2026-07-31,593
2026-08-31,636
2026-09-30,608
2026-10-31,588
2026-11-30,630
2026-12-31,633
2027-01-31,609
2027-02-28,558
2027-03-31,582
2027-04-30,640
2027-05-31,576
2027-06-30,570
2027-07-31,585
2027-08-31,632
2027-09-30,592
2027-10-31,564
2027-11-30,612
2027-12-31,612
2028-01-31,589
2028-02-29,546
2028-03-31,578
2028-04-30,635
2028-05-31,554
2028-06-30,556
2028-07-31,568
2028-08-31,619
2028-09-30,574
