Date,Predicted Sales
2024-01-31,657
2024-02-29,608
2024-03-31,757
2024-04-30,582
2024-05-31,656
2024-06-30,719
2024-07-31,680
2024-08-31,734
2024-09-30,654
2024-10-31,744
2024-11-30,708
2024-12-31,679
2025-01-31,629
2025-02-28,650
2025-03-31,734
2025-04-30,650
2025-05-31,626
2025-06-30,675
2025-07-31,671
2025-08-31,702
2025-09-30,647
2025-10-31,806
2025-11-30,694
2025-12-31,694
2026-01-31,618
2026-02-28,629
2026-03-31,655
2026-04-30,639
2026-05-31,625
2026-06-30,638
2026-07-31,635
2026-08-31,700
2026-09-30,638
2026-10-31,723
2026-11-30,682
2026-12-31,687
2027-01-31,606
2027-02-28,611
2027-03-31,668
2027-04-30,612
2027-05-31,619
2027-06-30,644
2027-07-31,623
2027-08-31,684
2027-09-30,612
2027-10-31,716
2027-11-30,673
2027-12-31,675
2028-01-31,593
2028-02-29,594
2028-03-31,678
2028-04-30,603
2028-05-31,598
2028-06-30,636
2028-07-31,621
2028-08-31,671
2028-09-30,607
