Date,Predicted Sales
2024-01-31,784
2024-02-29,699
2024-03-31,617
2024-04-30,569
2024-05-31,666
2024-06-30,681
2024-07-31,803
2024-08-31,651
2024-09-30,711
2024-10-31,726
2024-11-30,589
2024-12-31,711
2025-01-31,803
2025-02-28,632
2025-03-31,570
2025-04-30,616
2025-05-31,690
2025-06-30,652
2025-07-31,729
2025-08-31,682
2025-09-30,707
2025-10-31,712
2025-11-30,551
2025-12-31,638
2026-01-31,772
2026-02-28,663
2026-03-31,586
2026-04-30,558
2026-05-31,679
2026-06-30,711
2026-07-31,707
2026-08-31,682
2026-09-30,670
2026-10-31,719
2026-11-30,535
2026-12-31,651
2027-01-31,749
2027-02-28,638
2027-03-31,568
2027-04-30,553
2027-05-31,645
2027-06-30,662
2027-07-31,715
2027-08-31,655
2027-09-30,664
2027-10-31,676
2027-11-30,520
2027-12-31,641
2028-01-31,748
2028-02-29,617
2028-03-31,545
2028-04-30,555
2028-05-31,642
2028-06-30,648
2028-07-31,686
2028-08-31,648
2028-09-30,653
