Date,Predicted Sales
2024-01-31,596
2024-02-29,513
2024-03-31,696
2024-04-30,670
2024-05-31,543
2024-06-30,603
2024-07-31,588
2024-08-31,577
2024-09-30,570
2024-10-31,676
2024-11-30,610
2024-12-31,627
2025-01-31,580
2025-02-28,486
2025-03-31,667
2025-04-30,625
2025-05-31,531
2025-06-30,589
2025-07-31,551
2025-08-31,557
2025-09-30,538
2025-10-31,623
2025-11-30,583
2025-12-31,596
2026-01-31,554
2026-02-28,462
2026-03-31,639
2026-04-30,601
2026-05-31,494
2026-06-30,557
2026-07-31,530
2026-08-31,522
2026-09-30,511
2026-10-31,592
2026-11-30,552
2026-12-31,568
2027-01-31,524
2027-02-28,434
2027-03-31,607
2027-04-30,570
2027-05-31,467
2027-06-30,529
2027-07-31,499
2027-08-31,497
2027-09-30,487
2027-10-31,570
2027-11-30,529
2027-12-31,543
2028-01-31,499
2028-02-29,408
2028-03-31,580
2028-04-30,548
2028-05-31,445
2028-06-30,503
2028-07-31,474
2028-08-31,468
2028-09-30,468
