Date,Predicted Sales
2024-01-31,804
2024-02-29,725
2024-03-31,831
2024-04-30,722
2024-05-31,738
2024-06-30,790
2024-07-31,792
2024-08-31,780
2024-09-30,662
2024-10-31,824
2024-11-30,801
2024-12-31,790
2025-01-31,760
2025-02-28,752
2025-03-31,841
2025-04-30,780
2025-05-31,762
2025-06-30,730
2025-07-31,803
2025-08-31,733
2025-09-30,667
2025-10-31,848
2025-11-30,770
2025-12-31,757
2026-01-31,771
2026-02-28,769
2026-03-31,804
2026-04-30,743
2026-05-31,795
2026-06-30,759
2026-07-31,809
2026-08-31,729
2026-09-30,716
2026-10-31,843
2026-11-30,753
2026-12-31,821
2027-01-31,794
2027-02-28,772
2027-03-31,836
2027-04-30,746
2027-05-31,787
2027-06-30,780
2027-07-31,815
2027-08-31,761
2027-09-30,707
2027-10-31,850
2027-11-30,784
2027-12-31,819
2028-01-31,794
2028-02-29,778
2028-03-31,844
2028-04-30,776
2028-05-31,792
2028-06-30,772
2028-07-31,825
2028-08-31,764
2028-09-30,705
