Date,Predicted Sales
2024-01-31,868
2024-02-29,765
2024-03-31,819
2024-04-30,831
2024-05-31,799
2024-06-30,844
2024-07-31,855
2024-08-31,782
2024-09-30,807
2024-10-31,752
2024-11-30,829
2024-12-31,832
2025-01-31,847
2025-02-28,830
2025-03-31,911
2025-04-30,870
2025-05-31,854
2025-06-30,867
2025-07-31,892
2025-08-31,892
2025-09-30,805
2025-10-31,793
2025-11-30,866
2025-12-31,858
2026-01-31,893
2026-02-28,825
2026-03-31,931
2026-04-30,912
2026-05-31,889
2026-06-30,917
2026-07-31,982
2026-08-31,923
2026-09-30,865
2026-10-31,787
2026-11-30,923
2026-12-31,923
2027-01-31,950
2027-02-28,887
2027-03-31,962
2027-04-30,949
2027-05-31,932
2027-06-30,957
2027-07-31,985
2027-08-31,941
2027-09-30,907
2027-10-31,855
2027-11-30,952
2027-12-31,948
2028-01-31,973
2028-02-29,922
2028-03-31,1010
2028-04-30,985
2028-05-31,966
2028-06-30,989
2028-07-31,1034
2028-08-31,996
2028-09-30,932
