Date,Predicted Sales
2024-01-31,755
2024-02-29,634
2024-03-31,683
2024-04-30,667
2024-05-31,753
2024-06-30,672
2024-07-31,756
2024-08-31,670
2024-09-30,631
2024-10-31,765
2024-11-30,588
2024-12-31,697
2025-01-31,735
2025-02-28,621
2025-03-31,697
2025-04-30,686
2025-05-31,807
2025-06-30,614
2025-07-31,751
2025-08-31,665
2025-09-30,680
2025-10-31,808
2025-11-30,572
2025-12-31,717
2026-01-31,722
2026-02-28,638
2026-03-31,683
2026-04-30,691
2026-05-31,822
2026-06-30,612
2026-07-31,741
2026-08-31,659
2026-09-30,707
2026-10-31,791
2026-11-30,546
2026-12-31,723
2027-01-31,722
2027-02-28,621
2027-03-31,682
2027-04-30,675
2027-05-31,782
2027-06-30,616
2027-07-31,738
2027-08-31,659
2027-09-30,670
2027-10-31,770
2027-11-30,545
2027-12-31,695
2028-01-31,717
2028-02-29,607
2028-03-31,682
2028-04-30,673
2028-05-31,783
2028-06-30,598
2028-07-31,733
2028-08-31,656
2028-09-30,669
