Date,Predicted Sales
2024-01-31,614
2024-02-29,559
2024-03-31,621
2024-04-30,611
2024-05-31,545
2024-06-30,656
2024-07-31,663
2024-08-31,547
2024-09-30,630
2024-10-31,611
2024-11-30,509
2024-12-31,665
2025-01-31,529
2025-02-28,537
2025-03-31,526
2025-04-30,537
2025-05-31,550
2025-06-30,607
2025-07-31,588
2025-08-31,526
2025-09-30,516
2025-10-31,526
2025-11-30,538
2025-12-31,491
2026-01-31,475
2026-02-28,512
2026-03-31,534
2026-04-30,594
2026-05-31,566
2026-06-30,671
2026-07-31,569
2026-08-31,492
2026-09-30,503
2026-10-31,524
2026-11-30,453
2026-12-31,525
2027-01-31,468
2027-02-28,454
2027-03-31,494
2027-04-30,512
2027-05-31,470
2027-06-30,570
2027-07-31,537
2027-08-31,439
2027-09-30,485
2027-10-31,484
2027-11-30,409
2027-12-31,506
2028-01-31,412
2028-02-29,412
2028-03-31,424
2028-04-30,447
2028-05-31,435
2028-06-30,519
2028-07-31,482
2028-08-31,405
2028-09-30,416
