Date,Predicted Sales
2024-01-31,808
2024-02-29,748
2024-03-31,700
2024-04-30,668
2024-05-31,640
2024-06-30,683
2024-07-31,770
2024-08-31,694
2024-09-30,674
2024-10-31,691
2024-11-30,724
2024-12-31,745
2025-01-31,775
2025-02-28,739
2025-03-31,697
2025-04-30,663
2025-05-31,642
2025-06-30,688
2025-07-31,759
2025-08-31,683
2025-09-30,669
2025-10-31,693
2025-11-30,718
2025-12-31,739
2026-01-31,774
2026-02-28,738
2026-03-31,690
2026-04-30,651
2026-05-31,642
2026-06-30,685
2026-07-31,766
2026-08-31,685
2026-09-30,664
2026-10-31,681
2026-11-30,722
2026-12-31,737
2027-01-31,776
2027-02-28,741
2027-03-31,682
2027-04-30,650
2027-05-31,637
2027-06-30,682
2027-07-31,752
2027-08-31,672
2027-09-30,660
2027-10-31,684
2027-11-30,711
2027-12-31,734
2028-01-31,774
2028-02-29,737
2028-03-31,684
2028-04-30,645
2028-05-31,632
2028-06-30,676
2028-07-31,759
2028-08-31,666
2028-09-30,652
