Date,Predicted Sales
2024-01-31,719
2024-02-29,621
2024-03-31,874
2024-04-30,663
2024-05-31,553
2024-06-30,666
2024-07-31,749
2024-08-31,828
2024-09-30,777
2024-10-31,715
2024-11-30,644
2024-12-31,719
2025-01-31,711
2025-02-28,639
2025-03-31,886
2025-04-30,666
2025-05-31,569
2025-06-30,655
2025-07-31,700
2025-08-31,820
2025-09-30,781
2025-10-31,709
2025-11-30,620
2025-12-31,714
2026-01-31,684
2026-02-28,653
2026-03-31,890
2026-04-30,635
2026-05-31,540
2026-06-30,658
2026-07-31,728
2026-08-31,816
2026-09-30,777
2026-10-31,697
2026-11-30,599
2026-12-31,727
2027-01-31,695
2027-02-28,648
2027-03-31,884
2027-04-30,637
2027-05-31,540
2027-06-30,655
2027-07-31,726
2027-08-31,817
2027-09-30,770
2027-10-31,698
2027-11-30,606
2027-12-31,715
2028-01-31,694
2028-02-29,647
2028-03-31,878
2028-04-30,632
2028-05-31,543
2028-06-30,652
2028-07-31,720
2028-08-31,817
2028-09-30,766
