Date,Predicted Sales
2024-01-31,921
2024-02-29,596
2024-03-31,736
2024-04-30,676
2024-05-31,760
2024-06-30,741
2024-07-31,562
2024-08-31,665
2024-09-30,588
2024-10-31,693
2024-11-30,561
2024-12-31,664
2025-01-31,824
2025-02-28,558
2025-03-31,719
2025-04-30,659
2025-05-31,747
2025-06-30,714
2025-07-31,524
2025-08-31,638
2025-09-30,673
2025-10-31,603
2025-11-30,585
2025-12-31,584
2026-01-31,852
2026-02-28,551
2026-03-31,698
2026-04-30,654
2026-05-31,725
2026-06-30,708
2026-07-31,529
2026-08-31,623
2026-09-30,600
2026-10-31,624
2026-11-30,550
2026-12-31,613
2027-01-31,810
2027-02-28,527
2027-03-31,685
2027-04-30,642
2027-05-31,701
2027-06-30,679
2027-07-31,502
2027-08-31,611
2027-09-30,615
2027-10-31,593
2027-11-30,548
2027-12-31,566
2028-01-31,812
2028-02-29,515
2028-03-31,664
2028-04-30,622
2028-05-31,687
2028-06-30,663
2028-07-31,492
2028-08-31,594
2028-09-30,580
