Date,Predicted Sales
2024-01-31,722
2024-02-29,637
2024-03-31,703
2024-04-30,649
2024-05-31,680
2024-06-30,703
2024-07-31,661
2024-08-31,598
2024-09-30,580
2024-10-31,649
2024-11-30,567
2024-12-31,673
2025-01-31,776
2025-02-28,585
2025-03-31,659
2025-04-30,633
2025-05-31,685
2025-06-30,606
2025-07-31,680
2025-08-31,610
2025-09-30,584
2025-10-31,632
2025-11-30,607
2025-12-31,605
2026-01-31,761
2026-02-28,587
2026-03-31,648
2026-04-30,667
2026-05-31,715
2026-06-30,594
2026-07-31,702
2026-08-31,520
2026-09-30,531
2026-10-31,594
2026-11-30,580
2026-12-31,618
2027-01-31,697
2027-02-28,553
2027-03-31,624
2027-04-30,593
2027-05-31,635
2027-06-30,598
2027-07-31,633
2027-08-31,530
2027-09-30,511
2027-10-31,576
2027-11-30,534
2027-12-31,588
2028-01-31,697
2028-02-29,526
2028-03-31,598
2028-04-30,579
2028-05-31,631
2028-06-30,550
2028-07-31,621
2028-08-31,510
2028-09-30,499
