Date,Predicted Sales
2024-01-31,688
2024-02-29,607
2024-03-31,741
2024-04-30,674
2024-05-31,679
2024-06-30,664
2024-07-31,754
2024-08-31,591
2024-09-30,666
2024-10-31,654
2024-11-30,591
2024-12-31,624
2025-01-31,632
2025-02-28,599
2025-03-31,709
2025-04-30,662
2025-05-31,679
2025-06-30,652
2025-07-31,718
2025-08-31,591
2025-09-30,640
2025-10-31,643
2025-11-30,558
2025-12-31,573
2026-01-31,603
2026-02-28,556
2026-03-31,653
2026-04-30,637
2026-05-31,634
2026-06-30,631
2026-07-31,700
2026-08-31,578
2026-09-30,633
2026-10-31,615
2026-11-30,523
2026-12-31,549
2027-01-31,565
2027-02-28,517
2027-03-31,636
2027-04-30,597
2027-05-31,612
2027-06-30,590
2027-07-31,663
2027-08-31,530
2027-09-30,589
2027-10-31,578
2027-11-30,499
2027-12-31,517
2028-01-31,532
2028-02-29,491
2028-03-31,592
2028-04-30,564
2028-05-31,569
2028-06-30,557
2028-07-31,625
2028-08-31,501
2028-09-30,561
