Date,Predicted Sales
2024-01-31,774
2024-02-29,795
2024-03-31,810
2024-04-30,773
2024-05-31,805
2024-06-30,772
2024-07-31,734
2024-08-31,854
2024-09-30,778
2024-10-31,688
2024-11-30,768
2024-12-31,636
2025-01-31,742
2025-02-28,763
2025-03-31,782
2025-04-30,835
2025-05-31,750
2025-06-30,773
2025-07-31,761
2025-08-31,866
2025-09-30,794
2025-10-31,696
2025-11-30,784
2025-12-31,649
2026-01-31,753
2026-02-28,794
2026-03-31,797
2026-04-30,842
2026-05-31,760
2026-06-30,783
2026-07-31,772
2026-08-31,875
2026-09-30,813
2026-10-31,705
2026-11-30,799
2026-12-31,661
2027-01-31,764
2027-02-28,810
2027-03-31,802
2027-04-30,856
2027-05-31,772
2027-06-30,795
2027-07-31,783
2027-08-31,886
2027-09-30,823
2027-10-31,719
2027-11-30,809
2027-12-31,676
2028-01-31,774
2028-02-29,826
2028-03-31,815
2028-04-30,865
2028-05-31,784
2028-06-30,811
2028-07-31,792
2028-08-31,898
2028-09-30,836
