Date,Predicted Sales
2024-01-31,671
2024-02-29,677
2024-03-31,671
2024-04-30,715
2024-05-31,710
2024-06-30,666
2024-07-31,637
2024-08-31,789
2024-09-30,784
2024-10-31,695
2024-11-30,674
2024-12-31,677
2025-01-31,649
2025-02-28,658
2025-03-31,684
2025-04-30,703
2025-05-31,704
2025-06-30,662
2025-07-31,626
2025-08-31,781
2025-09-30,779
2025-10-31,697
2025-11-30,675
2025-12-31,685
2026-01-31,640
2026-02-28,654
2026-03-31,688
2026-04-30,695
2026-05-31,699
2026-06-30,656
2026-07-31,630
2026-08-31,785
2026-09-30,781
2026-10-31,695
2026-11-30,674
2026-12-31,676
2027-01-31,646
2027-02-28,658
2027-03-31,683
2027-04-30,695
2027-05-31,694
2027-06-30,658
2027-07-31,621
2027-08-31,783
2027-09-30,785
2027-10-31,681
2027-11-30,672
2027-12-31,682
2028-01-31,639
2028-02-29,656
2028-03-31,689
2028-04-30,694
2028-05-31,698
2028-06-30,659
2028-07-31,619
2028-08-31,778
2028-09-30,786
