Date,Predicted Sales
2024-01-31,684
2024-02-29,584
2024-03-31,653
2024-04-30,747
2024-05-31,611
2024-06-30,775
2024-07-31,673
2024-08-31,802
2024-09-30,605
2024-10-31,768
2024-11-30,577
2024-12-31,641
2025-01-31,682
2025-02-28,571
2025-03-31,661
2025-04-30,728
2025-05-31,592
2025-06-30,747
2025-07-31,674
2025-08-31,809
2025-09-30,606
2025-10-31,769
2025-11-30,578
2025-12-31,628
2026-01-31,670
2026-02-28,575
2026-03-31,632
2026-04-30,719
2026-05-31,570
2026-06-30,755
2026-07-31,661
2026-08-31,792
2026-09-30,597
2026-10-31,762
2026-11-30,561
2026-12-31,618
2027-01-31,660
2027-02-28,561
2027-03-31,614
2027-04-30,707
2027-05-31,563
2027-06-30,750
2027-07-31,649
2027-08-31,783
2027-09-30,585
2027-10-31,752
2027-11-30,561
2027-12-31,612
2028-01-31,650
2028-02-29,558
2028-03-31,609
2028-04-30,702
2028-05-31,553
2028-06-30,740
2028-07-31,643
2028-08-31,773
2028-09-30,577
