Date,Predicted Sales
2024-01-31,803
2024-02-29,620
2024-03-31,815
2024-04-30,743
2024-05-31,715
2024-06-30,734
2024-07-31,729
2024-08-31,801
2024-09-30,781
2024-10-31,832
2024-11-30,794
2024-12-31,719
2025-01-31,841
2025-02-28,627
2025-03-31,801
2025-04-30,714
2025-05-31,759
2025-06-30,829
2025-07-31,754
2025-08-31,809
2025-09-30,808
2025-10-31,737
2025-11-30,820
2025-12-31,803
2026-01-31,834
2026-02-28,683
2026-03-31,838
2026-04-30,735
2026-05-31,696
2026-06-30,725
2026-07-31,855
2026-08-31,846
2026-09-30,792
2026-10-31,805
2026-11-30,836
2026-12-31,792
2027-01-31,846
2027-02-28,671
2027-03-31,848
2027-04-30,770
2027-05-31,744
2027-06-30,780
2027-07-31,805
2027-08-31,845
2027-09-30,818
2027-10-31,833
2027-11-30,848
2027-12-31,795
2028-01-31,875
2028-02-29,687
2028-03-31,853
2028-04-30,761
2028-05-31,768
2028-06-30,822
2028-07-31,826
2028-08-31,857
2028-09-30,838
