Date,Predicted Sales
2024-01-31,837
2024-02-29,785
2024-03-31,739
2024-04-30,802
2024-05-31,845
2024-06-30,755
2024-07-31,810
2024-08-31,726
2024-09-30,741
2024-10-31,788
2024-11-30,782
2024-12-31,803
2025-01-31,864
2025-02-28,782
2025-03-31,764
2025-04-30,802
2025-05-31,848
2025-06-30,765
2025-07-31,827
2025-08-31,734
2025-09-30,751
2025-10-31,801
2025-11-30,791
2025-12-31,818
2026-01-31,869
2026-02-28,787
2026-03-31,771
2026-04-30,809
2026-05-31,867
2026-06-30,762
2026-07-31,848
2026-08-31,754
2026-09-30,773
2026-10-31,814
2026-11-30,791
2026-12-31,825
2027-01-31,867
2027-02-28,790
2027-03-31,785
2027-04-30,833
2027-05-31,875
2027-06-30,781
2027-07-31,844
2027-08-31,758
2027-09-30,773
2027-10-31,826
2027-11-30,802
2027-12-31,837
2028-01-31,876
2028-02-29,805
2028-03-31,792
2028-04-30,841
2028-05-31,887
2028-06-30,794
2028-07-31,851
2028-08-31,763
2028-09-30,787
