Date,Predicted Sales
2024-01-31,672
2024-02-29,632
2024-03-31,651
2024-04-30,700
2024-05-31,816
2024-06-30,808
2024-07-31,840
2024-08-31,797
2024-09-30,860
2024-10-31,706
2024-11-30,752
2024-12-31,819
2025-01-31,728
2025-02-28,633
2025-03-31,707
2025-04-30,694
2025-05-31,827
2025-06-30,834
2025-07-31,843
2025-08-31,800
2025-09-30,845
2025-10-31,750
2025-11-30,816
2025-12-31,819
2026-01-31,736
2026-02-28,674
2026-03-31,711
2026-04-30,691
2026-05-31,881
2026-06-30,895
2026-07-31,886
2026-08-31,811
2026-09-30,890
2026-10-31,817
2026-11-30,767
2026-12-31,917
2027-01-31,769
2027-02-28,700
2027-03-31,741
2027-04-30,746
2027-05-31,896
2027-06-30,901
2027-07-31,913
2027-08-31,854
2027-09-30,928
2027-10-31,814
2027-11-30,834
2027-12-31,920
2028-01-31,800
2028-02-29,721
2028-03-31,776
2028-04-30,769
2028-05-31,919
2028-06-30,924
2028-07-31,933
2028-08-31,881
2028-09-30,936
