Date,Predicted Sales
2024-01-31,669
2024-02-29,562
2024-03-31,630
2024-04-30,558
2024-05-31,573
2024-06-30,555
2024-07-31,673
2024-08-31,625
2024-09-30,674
2024-10-31,593
2024-11-30,537
2024-12-31,578
2025-01-31,574
2025-02-28,529
2025-03-31,576
2025-04-30,484
2025-05-31,568
2025-06-30,497
2025-07-31,656
2025-08-31,603
2025-09-30,629
2025-10-31,542
2025-11-30,500
2025-12-31,549
2026-01-31,553
2026-02-28,477
2026-03-31,517
2026-04-30,498
2026-05-31,541
2026-06-30,495
2026-07-31,599
2026-08-31,570
2026-09-30,570
2026-10-31,494
2026-11-30,424
2026-12-31,501
2027-01-31,499
2027-02-28,418
2027-03-31,473
2027-04-30,410
2027-05-31,459
2027-06-30,415
2027-07-31,532
2027-08-31,488
2027-09-30,509
2027-10-31,426
2027-11-30,375
2027-12-31,431
2028-01-31,432
2028-02-29,358
2028-03-31,399
2028-04-30,339
2028-05-31,405
2028-06-30,355
2028-07-31,480
2028-08-31,445
2028-09-30,467
