Date,Predicted Sales
2024-01-31,811
2024-02-29,618
2024-03-31,731
2024-04-30,794
2024-05-31,667
2024-06-30,746
2024-07-31,649
2024-08-31,642
2024-09-30,628
2024-10-31,738
2024-11-30,652
2024-12-31,679
2025-01-31,777
2025-02-28,590
2025-03-31,694
2025-04-30,828
2025-05-31,853
2025-06-30,733
2025-07-31,684
2025-08-31,634
2025-09-30,660
2025-10-31,706
2025-11-30,629
2025-12-31,736
2026-01-31,727
2026-02-28,574
2026-03-31,707
2026-04-30,784
2026-05-31,858
2026-06-30,739
2026-07-31,690
2026-08-31,660
2026-09-30,639
2026-10-31,786
2026-11-30,587
2026-12-31,597
2027-01-31,753
2027-02-28,571
2027-03-31,687
2027-04-30,769
2027-05-31,719
2027-06-30,712
2027-07-31,633
2027-08-31,618
2027-09-30,602
2027-10-31,708
2027-11-30,606
2027-12-31,660
2028-01-31,726
2028-02-29,548
2028-03-31,665
2028-04-30,778
2028-05-31,799
2028-06-30,697
2028-07-31,647
2028-08-31,608
2028-09-30,611
