Date,Predicted Sales
2024-01-31,646
2024-02-29,674
2024-03-31,743
2024-04-30,769
2024-05-31,630
2024-06-30,739
2024-07-31,783
2024-08-31,726
2024-09-30,665
2024-10-31,775
2024-11-30,714
2024-12-31,748
2025-01-31,788
2025-02-28,577
2025-03-31,780
2025-04-30,740
2025-05-31,666
2025-06-30,686
2025-07-31,742
2025-08-31,682
2025-09-30,675
2025-10-31,753
2025-11-30,788
2025-12-31,714
2026-01-31,746
2026-02-28,621
2026-03-31,791
2026-04-30,751
2026-05-31,695
2026-06-30,694
2026-07-31,714
2026-08-31,726
2026-09-30,711
2026-10-31,753
2026-11-30,706
2026-12-31,748
2027-01-31,691
2027-02-28,654
2027-03-31,773
2027-04-30,754
2027-05-31,674
2027-06-30,717
2027-07-31,741
2027-08-31,737
2027-09-30,704
2027-10-31,760
2027-11-30,674
2027-12-31,755
2028-01-31,705
2028-02-29,635
2028-03-31,767
2028-04-30,748
2028-05-31,660
2028-06-30,701
2028-07-31,735
2028-08-31,720
2028-09-30,679
