Date,Predicted Sales
2024-01-31,746
2024-02-29,706
2024-03-31,703
2024-04-30,644
2024-05-31,763
2024-06-30,796
2024-07-31,781
2024-08-31,763
2024-09-30,690
2024-10-31,783
2024-11-30,792
2024-12-31,768
2025-01-31,803
2025-02-28,738
2025-03-31,706
2025-04-30,640
2025-05-31,755
2025-06-30,804
2025-07-31,784
2025-08-31,727
2025-09-30,694
2025-10-31,829
2025-11-30,834
2025-12-31,740
2026-01-31,818
2026-02-28,746
2026-03-31,718
2026-04-30,657
2026-05-31,746
2026-06-30,804
2026-07-31,792
2026-08-31,735
2026-09-30,684
2026-10-31,803
2026-11-30,837
2026-12-31,757
2027-01-31,816
2027-02-28,749
2027-03-31,724
2027-04-30,659
2027-05-31,755
2027-06-30,799
2027-07-31,786
2027-08-31,744
2027-09-30,703
2027-10-31,801
2027-11-30,834
2027-12-31,767
2028-01-31,820
2028-02-29,754
2028-03-31,727
2028-04-30,659
2028-05-31,756
2028-06-30,805
2028-07-31,792
2028-08-31,742
2028-09-30,697
