Date,Predicted Sales
2024-01-31,566
2024-02-29,511
2024-03-31,699
2024-04-30,737
2024-05-31,687
2024-06-30,603
2024-07-31,598
2024-08-31,701
2024-09-30,669
2024-10-31,662
2024-11-30,658
2024-12-31,632
2025-01-31,603
2025-02-28,587
2025-03-31,615
2025-04-30,676
2025-05-31,638
2025-06-30,608
2025-07-31,626
2025-08-31,685
2025-09-30,646
2025-10-31,638
2025-11-30,634
2025-12-31,658
2026-01-31,571
2026-02-28,551
2026-03-31,630
2026-04-30,690
2026-05-31,640
2026-06-30,586
2026-07-31,591
2026-08-31,677
2026-09-30,638
2026-10-31,633
2026-11-30,625
2026-12-31,632
2027-01-31,560
2027-02-28,533
2027-03-31,607
2027-04-30,669
2027-05-31,630
2027-06-30,580
2027-07-31,591
2027-08-31,662
2027-09-30,623
2027-10-31,617
2027-11-30,613
2027-12-31,615
2028-01-31,553
2028-02-29,548
2028-03-31,604
2028-04-30,660
2028-05-31,610
2028-06-30,569
2028-07-31,580
2028-08-31,652
2028-09-30,612
