Date,Predicted Sales
2024-01-31,625
2024-02-29,596
2024-03-31,606
2024-04-30,628
2024-05-31,615
2024-06-30,650
2024-07-31,607
2024-08-31,601
2024-09-30,616
2024-10-31,730
2024-11-30,602
2024-12-31,735
2025-01-31,614
2025-02-28,576
2025-03-31,609
2025-04-30,591
2025-05-31,570
2025-06-30,606
2025-07-31,553
2025-08-31,553
2025-09-30,563
2025-10-31,730
2025-11-30,568
2025-12-31,691
2026-01-31,586
2026-02-28,545
2026-03-31,566
2026-04-30,585
2026-05-31,572
2026-06-30,595
2026-07-31,526
2026-08-31,544
2026-09-30,522
2026-10-31,705
2026-11-30,548
2026-12-31,690
2027-01-31,559
2027-02-28,523
2027-03-31,547
2027-04-30,557
2027-05-31,539
2027-06-30,573
2027-07-31,512
2027-08-31,525
2027-09-30,523
2027-10-31,675
2027-11-30,525
2027-12-31,657
2028-01-31,538
2028-02-29,500
2028-03-31,523
2028-04-30,533
2028-05-31,515
2028-06-30,547
2028-07-31,485
2028-08-31,499
2028-09-30,491
