Date,Predicted Sales
2024-01-31,832
2024-02-29,749
2024-03-31,886
2024-04-30,805
2024-05-31,737
2024-06-30,757
2024-07-31,847
2024-08-31,780
2024-09-30,824
2024-10-31,835
2024-11-30,815
2024-12-31,841
2025-01-31,849
2025-02-28,753
2025-03-31,905
2025-04-30,833
2025-05-31,760
2025-06-30,775
2025-07-31,874
2025-08-31,803
2025-09-30,840
2025-10-31,848
2025-11-30,839
2025-12-31,862
2026-01-31,873
2026-02-28,779
2026-03-31,921
2026-04-30,849
2026-05-31,784
2026-06-30,784
2026-07-31,886
2026-08-31,822
2026-09-30,862
2026-10-31,871
2026-11-30,860
2026-12-31,882
2027-01-31,894
2027-02-28,798
2027-03-31,940
2027-04-30,871
2027-05-31,803
2027-06-30,810
2027-07-31,909
2027-08-31,842
2027-09-30,878
2027-10-31,892
2027-11-30,873
2027-12-31,894
2028-01-31,911
2028-02-29,816
2028-03-31,962
2028-04-30,886
2028-05-31,823
2028-06-30,829
2028-07-31,925
2028-08-31,861
2028-09-30,902
