Date,Predicted Sales
2024-01-31,813
2024-02-29,854
2024-03-31,841
2024-04-30,907
2024-05-31,829
2024-06-30,815
2024-07-31,894
2024-08-31,914
2024-09-30,820
2024-10-31,844
2024-11-30,906
2024-12-31,812
2025-01-31,836
2025-02-28,803
2025-03-31,820
2025-04-30,891
2025-05-31,851
2025-06-30,793
2025-07-31,877
2025-08-31,940
2025-09-30,853
2025-10-31,847
2025-11-30,871
2025-12-31,847
2026-01-31,870
2026-02-28,807
2026-03-31,835
2026-04-30,872
2026-05-31,849
2026-06-30,788
2026-07-31,873
2026-08-31,936
2026-09-30,856
2026-10-31,859
2026-11-30,904
2026-12-31,852
2027-01-31,869
2027-02-28,822
2027-03-31,844
2027-04-30,889
2027-05-31,848
2027-06-30,781
2027-07-31,881
2027-08-31,939
2027-09-30,851
2027-10-31,852
2027-11-30,911
2027-12-31,850
2028-01-31,871
2028-02-29,823
2028-03-31,850
2028-04-30,897
2028-05-31,859
2028-06-30,799
2028-07-31,885
2028-08-31,946
2028-09-30,871
