Date,Predicted Sales
2024-01-31,674
2024-02-29,669
2024-03-31,784
2024-04-30,689
2024-05-31,572
2024-06-30,655
2024-07-31,787
2024-08-31,819
2024-09-30,694
2024-10-31,742
2024-11-30,664
2024-12-31,683
2025-01-31,670
2025-02-28,676
2025-03-31,833
2025-04-30,675
2025-05-31,599
2025-06-30,692
2025-07-31,822
2025-08-31,781
2025-09-30,731
2025-10-31,755
2025-11-30,693
2025-12-31,654
2026-01-31,708
2026-02-28,688
2026-03-31,821
2026-04-30,651
2026-05-31,573
2026-06-30,649
2026-07-31,833
2026-08-31,802
2026-09-30,704
2026-10-31,735
2026-11-30,688
2026-12-31,679
2027-01-31,704
2027-02-28,692
2027-03-31,822
2027-04-30,663
2027-05-31,596
2027-06-30,658
2027-07-31,824
2027-08-31,799
2027-09-30,721
2027-10-31,746
2027-11-30,684
2027-12-31,672
2028-01-31,708
2028-02-29,693
2028-03-31,823
2028-04-30,651
2028-05-31,592
2028-06-30,673
2028-07-31,834
2028-08-31,794
2028-09-30,715
