Date,Predicted Sales
2024-01-31,785
2024-02-29,662
2024-03-31,760
2024-04-30,755
2024-05-31,769
2024-06-30,659
2024-07-31,733
2024-08-31,721
2024-09-30,739
2024-10-31,762
2024-11-30,699
2024-12-31,742
2025-01-31,753
2025-02-28,635
2025-03-31,770
2025-04-30,744
2025-05-31,761
2025-06-30,657
2025-07-31,731
2025-08-31,722
2025-09-30,737
2025-10-31,753
2025-11-30,709
2025-12-31,753
2026-01-31,762
2026-02-28,639
2026-03-31,776
2026-04-30,753
2026-05-31,756
2026-06-30,664
2026-07-31,753
2026-08-31,727
2026-09-30,739
2026-10-31,758
2026-11-30,703
2026-12-31,744
2027-01-31,756
2027-02-28,646
2027-03-31,776
2027-04-30,754
2027-05-31,769
2027-06-30,672
2027-07-31,746
2027-08-31,739
2027-09-30,748
2027-10-31,763
2027-11-30,716
2027-12-31,750
2028-01-31,758
2028-02-29,636
2028-03-31,775
2028-04-30,743
2028-05-31,767
2028-06-30,674
2028-07-31,747
2028-08-31,732
2028-09-30,748
