Date,Predicted Sales
2024-01-31,849
2024-02-29,629
2024-03-31,820
2024-04-30,635
2024-05-31,729
2024-06-30,715
2024-07-31,761
2024-08-31,731
2024-09-30,668
2024-10-31,819
2024-11-30,738
2024-12-31,809
2025-01-31,771
2025-02-28,682
2025-03-31,782
2025-04-30,691
2025-05-31,745
2025-06-30,699
2025-07-31,786
2025-08-31,733
2025-09-30,737
2025-10-31,804
2025-11-30,691
2025-12-31,860
2026-01-31,748
2026-02-28,608
2026-03-31,784
2026-04-30,751
2026-05-31,723
2026-06-30,688
2026-07-31,820
2026-08-31,713
2026-09-30,726
2026-10-31,828
2026-11-30,643
2026-12-31,849
2027-01-31,790
2027-02-28,620
2027-03-31,804
2027-04-30,715
2027-05-31,726
2027-06-30,698
2027-07-31,805
2027-08-31,730
2027-09-30,700
2027-10-31,824
2027-11-30,684
2027-12-31,831
2028-01-31,778
2028-02-29,649
2028-03-31,799
2028-04-30,701
2028-05-31,739
2028-06-30,703
2028-07-31,796
2028-08-31,734
2028-09-30,719
