Date,Predicted Sales
2024-01-31,623
2024-02-29,650
2024-03-31,831
2024-04-30,767
2024-05-31,678
2024-06-30,697
2024-07-31,791
2024-08-31,776
2024-09-30,719
2024-10-31,719
2024-11-30,680
2024-12-31,774
2025-01-31,689
2025-02-28,679
2025-03-31,749
2025-04-30,777
2025-05-31,630
2025-06-30,736
2025-07-31,813
2025-08-31,720
2025-09-30,749
2025-10-31,750
2025-11-30,644
2025-12-31,793
2026-01-31,705
2026-02-28,659
2026-03-31,784
2026-04-30,807
2026-05-31,623
2026-06-30,733
2026-07-31,778
2026-08-31,700
2026-09-30,765
2026-10-31,754
2026-11-30,649
2026-12-31,802
2027-01-31,681
2027-02-28,677
2027-03-31,790
2027-04-30,796
2027-05-31,666
2027-06-30,733
2027-07-31,802
2027-08-31,746
2027-09-30,754
2027-10-31,752
2027-11-30,671
2027-12-31,801
2028-01-31,697
2028-02-29,682
2028-03-31,780
2028-04-30,806
2028-05-31,653
2028-06-30,736
2028-07-31,805
2028-08-31,740
2028-09-30,767
