Date,Predicted Sales
2024-01-31,642
2024-02-29,619
2024-03-31,716
2024-04-30,759
2024-05-31,604
2024-06-30,679
2024-07-31,611
2024-08-31,727
2024-09-30,686
2024-10-31,603
2024-11-30,596
2024-12-31,684
2025-01-31,654
2025-02-28,589
2025-03-31,696
2025-04-30,660
2025-05-31,539
2025-06-30,618
2025-07-31,679
2025-08-31,730
2025-09-30,665
2025-10-31,628
2025-11-30,618
2025-12-31,712
2026-01-31,633
2026-02-28,578
2026-03-31,710
2026-04-30,721
2026-05-31,514
2026-06-30,622
2026-07-31,574
2026-08-31,702
2026-09-30,629
2026-10-31,577
2026-11-30,606
2026-12-31,697
2027-01-31,608
2027-02-28,552
2027-03-31,675
2027-04-30,662
2027-05-31,498
2027-06-30,597
2027-07-31,552
2027-08-31,668
2027-09-30,596
2027-10-31,545
2027-11-30,555
2027-12-31,642
2028-01-31,576
2028-02-29,516
2028-03-31,633
2028-04-30,647
2028-05-31,472
2028-06-30,570
2028-07-31,569
2028-08-31,650
2028-09-30,572
