Date,Predicted Sales
2024-01-31,824
2024-02-29,691
2024-03-31,707
2024-04-30,794
2024-05-31,826
2024-06-30,701
2024-07-31,758
2024-08-31,832
2024-09-30,737
2024-10-31,768
2024-11-30,794
2024-12-31,824
2025-01-31,826
2025-02-28,722
2025-03-31,790
2025-04-30,822
2025-05-31,782
2025-06-30,780
2025-07-31,734
2025-08-31,813
2025-09-30,759
2025-10-31,858
2025-11-30,742
2025-12-31,868
2026-01-31,809
2026-02-28,696
2026-03-31,744
2026-04-30,855
2026-05-31,850
2026-06-30,798
2026-07-31,729
2026-08-31,839
2026-09-30,867
2026-10-31,815
2026-11-30,752
2026-12-31,899
2027-01-31,857
2027-02-28,738
2027-03-31,768
2027-04-30,857
2027-05-31,862
2027-06-30,783
2027-07-31,774
2027-08-31,874
2027-09-30,816
2027-10-31,834
2027-11-30,803
2027-12-31,889
2028-01-31,857
2028-02-29,756
2028-03-31,814
2028-04-30,880
2028-05-31,857
2028-06-30,817
2028-07-31,786
2028-08-31,883
2028-09-30,825
