Date,Predicted Sales
2024-01-31,840
2024-02-29,758
2024-03-31,736
2024-04-30,696
2024-05-31,822
2024-06-30,789
2024-07-31,744
2024-08-31,818
2024-09-30,715
2024-10-31,818
2024-11-30,891
2024-12-31,786
2025-01-31,801
2025-02-28,812
2025-03-31,792
2025-04-30,714
2025-05-31,811
2025-06-30,814
2025-07-31,689
2025-08-31,800
2025-09-30,780
2025-10-31,783
2025-11-30,831
2025-12-31,795
2026-01-31,764
2026-02-28,776
2026-03-31,847
2026-04-30,723
2026-05-31,839
2026-06-30,823
2026-07-31,719
2026-08-31,819
2026-09-30,828
2026-10-31,793
2026-11-30,834
2026-12-31,794
2027-01-31,808
2027-02-28,797
2027-03-31,823
2027-04-30,730
2027-05-31,844
2027-06-30,828
2027-07-31,746
2027-08-31,825
2027-09-30,801
2027-10-31,820
2027-11-30,874
2027-12-31,806
2028-01-31,807
2028-02-29,808
2028-03-31,819
2028-04-30,730
2028-05-31,844
2028-06-30,836
2028-07-31,733
2028-08-31,831
2028-09-30,813
