Date,Predicted Sales
2024-01-31,783
2024-02-29,740
2024-03-31,710
2024-04-30,764
2024-05-31,691
2024-06-30,719
2024-07-31,757
2024-08-31,765
2024-09-30,756
2024-10-31,739
2024-11-30,760
2024-12-31,768
2025-01-31,808
2025-02-28,726
2025-03-31,724
2025-04-30,766
2025-05-31,697
2025-06-30,725
2025-07-31,772
2025-08-31,780
2025-09-30,768
2025-10-31,735
2025-11-30,758
2025-12-31,772
2026-01-31,827
2026-02-28,722
2026-03-31,732
2026-04-30,775
2026-05-31,701
2026-06-30,738
2026-07-31,777
2026-08-31,783
2026-09-30,775
2026-10-31,741
2026-11-30,761
2026-12-31,782
2027-01-31,837
2027-02-28,738
2027-03-31,735
2027-04-30,779
2027-05-31,714
2027-06-30,747
2027-07-31,783
2027-08-31,793
2027-09-30,776
2027-10-31,744
2027-11-30,769
2027-12-31,786
2028-01-31,835
2028-02-29,747
2028-03-31,751
2028-04-30,793
2028-05-31,722
2028-06-30,739
2028-07-31,781
2028-08-31,795
2028-09-30,790
