Date,Predicted Sales
2024-01-31,805
2024-02-29,644
2024-03-31,702
2024-04-30,682
2024-05-31,630
2024-06-30,662
2024-07-31,776
2024-08-31,689
2024-09-30,660
2024-10-31,714
2024-11-30,603
2024-12-31,648
2025-01-31,777
2025-02-28,623
2025-03-31,675
2025-04-30,641
2025-05-31,642
2025-06-30,694
2025-07-31,749
2025-08-31,687
2025-09-30,659
2025-10-31,703
2025-11-30,604
2025-12-31,651
2026-01-31,768
2026-02-28,614
2026-03-31,667
2026-04-30,641
2026-05-31,644
2026-06-30,683
2026-07-31,744
2026-08-31,674
2026-09-30,642
2026-10-31,697
2026-11-30,611
2026-12-31,644
2027-01-31,762
2027-02-28,609
2027-03-31,662
2027-04-30,629
2027-05-31,625
2027-06-30,674
2027-07-31,743
2027-08-31,669
2027-09-30,650
2027-10-31,683
2027-11-30,594
2027-12-31,646
2028-01-31,760
2028-02-29,604
2028-03-31,657
2028-04-30,622
2028-05-31,622
2028-06-30,673
2028-07-31,734
2028-08-31,664
2028-09-30,632
