Date,Predicted Sales
2024-01-31,783
2024-02-29,635
2024-03-31,712
2024-04-30,703
2024-05-31,604
2024-06-30,724
2024-07-31,751
2024-08-31,736
2024-09-30,676
2024-10-31,704
2024-11-30,676
2024-12-31,737
2025-01-31,776
2025-02-28,588
2025-03-31,697
2025-04-30,738
2025-05-31,568
2025-06-30,693
2025-07-31,742
2025-08-31,711
2025-09-30,685
2025-10-31,728
2025-11-30,605
2025-12-31,676
2026-01-31,786
2026-02-28,572
2026-03-31,668
2026-04-30,707
2026-05-31,547
2026-06-30,676
2026-07-31,719
2026-08-31,650
2026-09-30,647
2026-10-31,721
2026-11-30,595
2026-12-31,651
2027-01-31,744
2027-02-28,554
2027-03-31,647
2027-04-30,673
2027-05-31,517
2027-06-30,652
2027-07-31,697
2027-08-31,660
2027-09-30,624
2027-10-31,676
2027-11-30,577
2027-12-31,641
2028-01-31,724
2028-02-29,531
2028-03-31,631
2028-04-30,663
2028-05-31,504
2028-06-30,632
2028-07-31,673
2028-08-31,633
2028-09-30,609
