Date,Predicted Sales
2024-01-31,868
2024-02-29,875
2024-03-31,836
2024-04-30,727
2024-05-31,744
2024-06-30,753
2024-07-31,964
2024-08-31,718
2024-09-30,842
2024-10-31,844
2024-11-30,825
2024-12-31,786
2025-01-31,951
2025-02-28,842
2025-03-31,751
2025-04-30,718
2025-05-31,855
2025-06-30,789
2025-07-31,947
2025-08-31,757
2025-09-30,856
2025-10-31,926
2025-11-30,881
2025-12-31,844
2026-01-31,971
2026-02-28,923
2026-03-31,869
2026-04-30,781
2026-05-31,857
2026-06-30,837
2026-07-31,1023
2026-08-31,795
2026-09-30,914
2026-10-31,951
2026-11-30,916
2026-12-31,884
2027-01-31,1027
2027-02-28,951
2027-03-31,855
2027-04-30,801
2027-05-31,931
2027-06-30,883
2027-07-31,1053
2027-08-31,856
2027-09-30,950
2027-10-31,1011
2027-11-30,971
2027-12-31,943
2028-01-31,1075
2028-02-29,1009
2028-03-31,931
2028-04-30,867
2028-05-31,960
2028-06-30,933
2028-07-31,1115
2028-08-31,900
2028-09-30,1002
