Date,Predicted Sales
2024-01-31,739
2024-02-29,659
2024-03-31,725
2024-04-30,755
2024-05-31,895
2024-06-30,823
2024-07-31,771
2024-08-31,781
2024-09-30,768
2024-10-31,797
2024-11-30,828
2024-12-31,762
2025-01-31,783
2025-02-28,700
2025-03-31,830
2025-04-30,758
2025-05-31,783
2025-06-30,781
2025-07-31,867
2025-08-31,801
2025-09-30,771
2025-10-31,778
2025-11-30,845
2025-12-31,873
2026-01-31,844
2026-02-28,700
2026-03-31,803
2026-04-30,807
2026-05-31,837
2026-06-30,822
2026-07-31,870
2026-08-31,820
2026-09-30,802
2026-10-31,839
2026-11-30,867
2026-12-31,927
2027-01-31,850
2027-02-28,755
2027-03-31,856
2027-04-30,831
2027-05-31,905
2027-06-30,881
2027-07-31,899
2027-08-31,869
2027-09-30,843
2027-10-31,863
2027-11-30,913
2027-12-31,921
2028-01-31,896
2028-02-29,782
2028-03-31,894
2028-04-30,869
2028-05-31,916
2028-06-30,898
2028-07-31,940
2028-08-31,895
2028-09-30,870
