Date,Predicted Sales
2024-01-31,825
2024-02-29,606
2024-03-31,816
2024-04-30,733
2024-05-31,737
2024-06-30,626
2024-07-31,720
2024-08-31,614
2024-09-30,658
2024-10-31,711
2024-11-30,655
2024-12-31,664
2025-01-31,807
2025-02-28,658
2025-03-31,813
2025-04-30,736
2025-05-31,806
2025-06-30,677
2025-07-31,744
2025-08-31,618
2025-09-30,785
2025-10-31,755
2025-11-30,655
2025-12-31,613
2026-01-31,787
2026-02-28,634
2026-03-31,825
2026-04-30,741
2026-05-31,733
2026-06-30,631
2026-07-31,734
2026-08-31,609
2026-09-30,750
2026-10-31,725
2026-11-30,678
2026-12-31,609
2027-01-31,798
2027-02-28,615
2027-03-31,810
2027-04-30,713
2027-05-31,748
2027-06-30,632
2027-07-31,719
2027-08-31,599
2027-09-30,721
2027-10-31,728
2027-11-30,656
2027-12-31,625
2028-01-31,790
2028-02-29,626
2028-03-31,817
2028-04-30,729
2028-05-31,761
2028-06-30,640
2028-07-31,731
2028-08-31,601
2028-09-30,753
